"","Type","count1","proportion"
"1","A+A+F",1,5.05663430420712e-05
"2","A+A+M",4,0.000202265372168285
"3","A+A+OF",2,0.000101132686084142
"4","A+A+ON",1,5.05663430420712e-05
"5","A+F+F",62,0.00313511326860841
"6","A+M+F",100,0.00505663430420712
"7","A+M+M",128,0.00647249190938511
"8","A+N+F",20,0.00101132686084142
"9","A+N+M",33,0.00166868932038835
"10","A+N+N",6,0.000303398058252427
"11","A+OF+F",5,0.000252831715210356
"12","A+OF+M",13,0.000657362459546926
"13","A+ON+F",15,0.000758495145631068
"14","A+ON+M",27,0.00136529126213592
"15","A+ON+N",17,0.00085962783171521
"16","A+ON+OF",18,0.000910194174757282
"17","A+ON+ON",19,0.000960760517799353
"18","F+F+F",946,0.0478357605177994
"19","F+F+M",1066,0.0539037216828479
"20","F+F+N",3019,0.152659789644013
"21","F+F+OF",369,0.0186589805825243
"22","F+OF+M",601,0.0303903721682848
"23","M+M+F",1119,0.0565837378640777
"24","M+M+M",804,0.0406553398058252
"25","M+M+N",2987,0.151041666666667
"26","N+M+F",3118,0.157665857605178
"27","N+N+F",589,0.0297835760517799
"28","N+N+M",488,0.0246763754045307
"29","N+N+N",11,0.000556229773462783
"30","OF+M+M",698,0.0352953074433657
"31","OF+N+F",48,0.00242718446601942
"32","OF+N+M",68,0.00343851132686084
"33","OF+N+N",23,0.00116302588996764
"34","OF+OF+N",1,5.05663430420712e-05
"35","ON+F+F",173,0.00874797734627832
"36","ON+F+M",243,0.0122876213592233
"37","ON+M+M",239,0.012085355987055
"38","ON+N+F",481,0.0243224110032362
"39","ON+N+M",741,0.0374696601941748
"40","ON+N+N",334,0.0168891585760518
"41","ON+OF+F",88,0.00444983818770227
"42","ON+OF+M",217,0.0109728964401294
"43","ON+OF+N",61,0.00308454692556634
"44","ON+ON+F",29,0.00146642394822006
"45","ON+ON+M",46,0.00232605177993528
"46","ON+ON+N",463,0.023412216828479
"47","ON+ON+OF",233,0.0117819579288026
"48","ON+ON+ON",2,0.000101132686084142
